             JOBID PARTITION     NAME         USER ST       TIME  NODES NODELIST(REASON)
            639114    th_mt1  0020516       fengxu PD       0:00     32 (Resources)
            639115    th_mt1  0020556       fengxu PD       0:00     32 (Resources)
            639116    th_mt1  0020526       fengxu PD       0:00     32 (Resources)
            639117    th_mt1 run0536.       fengxu PD       0:00     32 (Resources)
            639118    th_mt1 run0546.       fengxu PD       0:00     32 (Resources)
            639119    th_mt1 run0556.       fengxu PD       0:00     32 (Resources)
            639094    th_ft1 run0976.       fengxu PD       0:00     16 (Resources)
            639095    th_ft1 run0996.       fengxu PD       0:00     16 (Priority)
            639096    th_ft1 run1006.       fengxu PD       0:00     16 (Priority)
            639097    th_ft1 run1016.       fengxu PD       0:00     16 (Priority)
            639113    th_mt1  0020386       fengxu  R       5:08     32 cn[3393,3396,3402,3413,3419,3425,3722-3723,3728-3729,3750-3751,3832-3833,3835-3836,3849-3850,3865-3866,3869-3870,3892-3893,3897-3898,3918-3919,3921-3922,3924-3925]
            639111    th_mt1  0020416       fengxu  R       5:22     32 cn[3441-3442,3452-3453,3455-3456,3477-3478,3530-3531,3557-3558,3610-3611,3616-3617,3620-3621,3627-3628,3642-3643,3672-3673,3686-3687,3952-3954,3956-3958]
            639110    th_mt1  0020226       fengxu  R       5:27     32 cn[3422-3423,3458-3460,3520-3522,3524-3526,3638-3640,3731-3733,3756-3758,3776-3778,3856-3858,3944-3946,3948-3950]
            639109    th_mt1  0020536       fengxu  R       5:38     32 cn[3714-3717,3789-3792,3818-3821,3827-3830,3838-3841,3875-3878,3939-3942,3962-3965]
            639108    th_mt1 run0526.       fengxu  R       5:41     32 cn[3429-3433,3435-3437,3496-3499,3654-3657,3760-3765,3809-3813,3910-3914]
            639107    th_mt1  0020586       fengxu  R       5:49     32 cn[3501-3507,3604-3608,3631-3636,3780-3786,3928-3934]
            639105    th_mt1 run0000.       fengxu  R       7:21     32 cn[3399-3400,3464-3470,3589-3602,3882-3890]
            639104    th_mt1  0020596       fengxu  R       7:46     32 cn[3415-3417,3566-3574,3576-3586,3799-3807]
            639103    th_mt1  0020516       fengxu  R       7:52     32 cn[3487-3494,3659-3670,3737-3748]
            639102    th_mt1  0020546       fengxu  R       7:58     32 cn[3509-3518,3691-3712]
            639093    th_ft1 run0566.       fengxu  R      16:20     16 cn[260,279,284,299-300,309,317,440-442,483-484,486-487,510-511]
